id,minute,second,teamId,h_a,type,outcomeType,x,y,endX,endY
2390954885.0,0,0.0,ManchesterCity,h,Start,Successful,0.0,0.0,,
2390954877.0,0,0.0,ManchesterUnited,a,Start,Successful,0.0,0.0,,
2390954945.0,0,0.0,ManchesterUnited,a,Pass,Successful,50.0,50.0,34.9,61.8
2390954971.0,0,3.0,ManchesterUnited,a,Pass,Unsuccessful,35.0,50.9,66.7,24.7
2390955007.0,0,5.0,ManchesterCity,h,Pass,Unsuccessful,38.9,68.5,48.1,56.6
2390955039.0,0,7.0,ManchesterUnited,a,Pass,Successful,52.8,44.1,50.9,36.1
2390955059.0,0,10.0,ManchesterUnited,a,Pass,Successful,46.8,23.6,43.2,7.6
2390955083.0,0,12.0,ManchesterUnited,a,Pass,Successful,43.3,7.7,55.8,3.7
2390955093.0,0,13.0,ManchesterUnited,a,Pass,Successful,55.8,3.7,62.0,11.3
2390955113.0,0,14.0,ManchesterUnited,a,Pass,Unsuccessful,61.8,10.9,70.1,4.9
2390955115.0,0,15.0,ManchesterCity,h,Interception,Successful,41.2,90.3,,
2390955163.0,0,15.0,ManchesterUnited,a,BallTouch,Successful,63.4,8.5,,
2390955155.0,0,16.0,ManchesterCity,h,BallTouch,Successful,42.1,90.0,,
2390955189.0,0,16.0,ManchesterUnited,a,BallTouch,Unsuccessful,63.5,8.5,,
2390955199.0,0,17.0,ManchesterCity,h,Pass,Unsuccessful,39.7,90.2,42.9,86.3
2390955209.0,0,17.0,ManchesterUnited,a,BlockedPass,Successful,65.1,8.6,,
2390955223.0,0,19.0,ManchesterUnited,a,BallTouch,Unsuccessful,66.2,2.8,,
2390961561.0,0,20.0,ManchesterCity,h,Pass,Successful,36.3,97.1,39.2,94.4
2390955257.0,0,21.0,ManchesterCity,h,BallRecovery,Successful,43.2,89.4,,
2390955261.0,0,21.0,ManchesterCity,h,Pass,Successful,43.2,88.3,38.5,78.1
2390955275.0,0,22.0,ManchesterCity,h,Pass,Successful,38.6,77.8,25.0,68.8
2390955319.0,0,25.0,ManchesterCity,h,Pass,Successful,23.3,66.0,4.1,45.7
2390955381.0,0,28.0,ManchesterCity,h,Pass,Successful,4.4,45.2,6.8,24.9
2390955415.0,0,30.0,ManchesterCity,h,Pass,Successful,7.0,24.4,14.4,27.3
2390955443.0,0,31.0,ManchesterCity,h,Pass,Successful,14.3,27.3,20.2,6.5
2390955485.0,0,34.0,ManchesterCity,h,Pass,Successful,20.2,6.5,8.7,11.0
2390955531.0,0,36.0,ManchesterCity,h,Pass,Successful,5.6,13.2,2.8,32.8
2390955571.0,0,39.0,ManchesterCity,h,Pass,Successful,3.1,43.7,5.9,77.0
2390955603.0,0,42.0,ManchesterCity,h,Pass,Successful,7.5,84.4,23.3,96.2
2390955649.0,0,45.0,ManchesterCity,h,Pass,Successful,25.2,94.7,24.3,86.9
2390955709.0,0,47.0,ManchesterCity,h,Pass,Successful,22.0,82.3,14.1,47.2
2390955751.0,0,54.0,ManchesterCity,h,Pass,Successful,25.1,44.6,25.1,65.2
2390955801.0,0,57.0,ManchesterCity,h,Pass,Successful,26.0,67.2,34.6,94.5
2390955859.0,0,59.0,ManchesterCity,h,Pass,Successful,32.0,91.2,18.9,83.2
2390955919.0,1,3.0,ManchesterCity,h,Pass,Successful,16.4,80.2,8.2,49.7
2390955971.0,1,6.0,ManchesterCity,h,Pass,Successful,9.1,46.3,8.1,23.4
2390955989.0,1,8.0,ManchesterCity,h,Pass,Successful,9.1,24.1,19.4,23.9
2390956121.0,1,9.0,ManchesterCity,h,Pass,Successful,18.9,23.4,25.2,3.5
2390956161.0,1,15.0,ManchesterCity,h,Pass,Successful,24.8,21.3,19.6,51.6
2390956289.0,1,18.0,ManchesterCity,h,Pass,Successful,24.3,59.0,40.9,89.7
2390956307.0,1,26.0,ManchesterCity,h,Pass,Unsuccessful,56.3,72.1,74.3,21.0
2390956343.0,1,28.0,ManchesterUnited,a,Pass,Successful,21.4,79.3,31.9,76.5
2390956349.0,1,29.0,ManchesterUnited,a,BallTouch,Unsuccessful,30.1,77.7,,
