minute,second,team,playerName,type,outcomeType,x,y,endX,endY
0,0.0,Real Madrid,,Start,Successful,0.0,0.0,,
0,0.0,Barcelona,,Start,Successful,0.0,0.0,,
0,1.0,Barcelona,Neymar,Pass,Successful,49.8,51.9,51.9,50.0
0,2.0,Barcelona,Luis Suárez,Pass,Successful,51.9,50.0,38.1,53.4
0,3.0,Real Madrid,Gareth Bale,Challenge,Unsuccessful,60.3,43.0,,
0,3.0,Barcelona,Sergio Busquets,TakeOn,Successful,39.7,57.0,,
0,4.0,Barcelona,Sergio Busquets,Pass,Successful,43.2,63.1,41.4,95.6
0,8.0,Barcelona,Jordi Alba,Pass,Successful,35.9,91.7,14.4,65.2
0,11.0,Barcelona,Claudio Bravo,Pass,Successful,12.5,59.3,15.5,29.4
0,16.0,Barcelona,Gerard Piqué,Pass,Successful,17.3,32.4,12.8,78.7
0,19.0,Barcelona,Javier Mascherano,Pass,Successful,13.2,85.7,20.8,97.1
0,20.0,Barcelona,Jordi Alba,Pass,Successful,20.8,97.1,10.2,86.9
0,23.0,Barcelona,Javier Mascherano,Pass,Successful,7.1,83.5,2.2,61.4
0,27.0,Barcelona,Claudio Bravo,Pass,Unsuccessful,3.5,54.8,60.6,23.0
0,31.0,Real Madrid,Sergio Ramos,Interception,Successful,41.4,74.1,,
1,12.0,Barcelona,Dani Alves,Pass,Successful,60.1,0.0,64.1,9.2
1,15.0,Barcelona,Ivan Rakitic,Pass,Successful,58.6,9.8,45.3,38.9
1,17.0,Barcelona,Javier Mascherano,Pass,Successful,45.3,38.9,46.1,66.4
1,20.0,Barcelona,Jordi Alba,Pass,Successful,49.0,74.8,56.8,95.4
1,23.0,Barcelona,Neymar,Dispossessed,Successful,59.2,96.6,,
1,23.0,Real Madrid,Danilo,Tackle,Unsuccessful,40.8,3.4,,
1,24.0,Barcelona,Neymar,BallTouch,Successful,56.4,95.6,,
1,33.0,Real Madrid,Danilo,Pass,Successful,57.4,0.0,64.9,17.7
1,35.0,Real Madrid,Gareth Bale,Pass,Successful,64.9,17.7,61.6,16.4
1,36.0,Real Madrid,Karim Benzema,Pass,Successful,61.6,16.4,68.0,24.4
1,37.0,Real Madrid,Gareth Bale,Pass,Unsuccessful,68.0,24.4,63.6,31.2
1,38.0,Barcelona,Ivan Rakitic,Pass,Successful,42.1,74.1,27.5,61.5
1,39.0,Barcelona,Gerard Piqué,BallRecovery,Successful,27.8,59.9,,
1,40.0,Barcelona,Gerard Piqué,Pass,Successful,28.6,56.9,29.8,28.2
1,42.0,Barcelona,Dani Alves,Pass,Successful,29.8,28.2,36.5,40.4
1,44.0,Barcelona,Ivan Rakitic,BallTouch,Unsuccessful,36.7,38.9,,
1,46.0,Real Madrid,Karim Benzema,Pass,Successful,70.6,66.7,75.6,76.1
1,48.0,Real Madrid,Cristiano Ronaldo,BallRecovery,Successful,77.6,80.8,,
1,49.0,Real Madrid,Cristiano Ronaldo,TakeOn,Unsuccessful,78.2,83.0,,
1,49.0,Barcelona,Dani Alves,Tackle,Successful,21.8,17.0,,
1,51.0,Barcelona,Ivan Rakitic,BallRecovery,Successful,16.2,27.4,,
1,51.0,Barcelona,Ivan Rakitic,Pass,Unsuccessful,16.7,27.2,35.0,37.1
1,54.0,Real Madrid,Luka Modric,BallRecovery,Successful,65.4,61.2,,
1,55.0,Real Madrid,Luka Modric,Pass,Successful,64.8,59.1,54.5,42.7
2,0.0,Real Madrid,Raphaël Varane,Pass,Successful,54.2,43.4,58.0,69.6
2,2.0,Real Madrid,Toni Kroos,Pass,Successful,60.1,73.0,71.1,77.9
2,3.0,Real Madrid,Cristiano Ronaldo,Pass,Successful,71.1,77.9,62.0,91.1
2,5.0,Real Madrid,Toni Kroos,Pass,Successful,62.0,91.1,69.4,97.7
2,6.0,Real Madrid,Marcelo,Pass,Successful,69.4,97.7,59.0,92.7
2,8.0,Real Madrid,Toni Kroos,Pass,Successful,58.6,88.3,53.6,67.6
2,11.0,Real Madrid,Luka Modric,Pass,Successful,47.8,63.6,46.1,35.4
2,13.0,Real Madrid,Raphaël Varane,Pass,Successful,46.1,34.9,61.5,31.5
2,16.0,Real Madrid,James Rodríguez,Dispossessed,Successful,67.5,37.2,,
2,16.0,Barcelona,Andrés Iniesta,Tackle,Successful,32.5,62.8,,
